Input,PalletType,DecimalBoxNumber,NetBoxNumber,NumberPallet,TotalPalletWeight,NetProductWeight,TotalWeight,Input.1,UnitCost,UnitSelling,TransportCost,TransportSelling,SubTotalSelling,TotalSelling,CostPerKg,SellingPerKg,ProfitPerKg
535,STANDARD,35.666666666666664,35,0.7430555555555555,43.097222222222214,525,568.0972222222222,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
536,EURO,35.733333333333334,35,0.9925925925925926,47.644444444444446,525,572.6444444444444,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
536,STANDARD,35.733333333333334,35,0.7444444444444445,43.17777777777778,525,568.1777777777778,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
537,EURO,35.8,35,0.9944444444444444,47.73333333333333,525,572.7333333333333,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
537,STANDARD,35.8,35,0.7458333333333332,43.258333333333326,525,568.2583333333333,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
538,EURO,35.86666666666667,35,0.9962962962962963,47.82222222222222,525,572.8222222222222,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
538,STANDARD,35.86666666666667,35,0.7472222222222222,43.33888888888889,525,568.3388888888888,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
539,EURO,35.93333333333333,35,0.998148148148148,47.911111111111104,525,572.9111111111112,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
539,STANDARD,35.93333333333333,35,0.748611111111111,43.41944444444444,525,568.4194444444445,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
540,EURO,36,36,1,48,540,588,540,5400,5670,4e3,5600,11270,12002.55,17.40740740740741,22.22694444444444,4.819537037037033
540,STANDARD,36,36,0.75,43.5,540,583.5,540,5400,5670,4e3,5600,11270,12002.55,17.40740740740741,22.22694444444444,4.819537037037033
541,EURO,36.06666666666667,36,1.001851851851852,48.088888888888896,540,588.0888888888888,540,5400,5670,4e3,5600,11270,12002.55,17.40740740740741,22.22694444444444,4.819537037037033
541,STANDARD,36.06666666666667,36,0.751388888888889,43.58055555555556,540,583.5805555555555,540,5400,5670,4e3,5600,11270,12002.55,17.40740740740741,22.22694444444444,4.819537037037033
542,EURO,36.13333333333333,36,1.0037037037037038,48.17777777777778,540,588.1777777777778,540,5400,5670,4e3,5600,11270,12002.55,17.40740740740741,22.22694444444444,4.819537037037033
542,STANDARD,36.13333333333333,36,0.7527777777777778,43.66111111111111,540,583.6611111111112,540,5400,5670,4e3,5600,11270,12002.55,17.40740740740741,22.22694444444444,4.819537037037033
543,EURO,36.2,36,1.0055555555555555,48.266666666666666,540,588.2666666666667,540,5400,5670,4e3,5600,11270,12002.55,17.40740740740741,22.22694444444444,4.819537037037033
543,STANDARD,36.2,36,0.7541666666666668,43.741666666666674,540,583.7416666666667,540,5400,5670,4e3,5600,11270,12002.55,17.40740740740741,22.22694444444444,4.819537037037033
544,EURO,36.266666666666666,36,1.0074074074074073,48.355555555555554,540,588.3555555555556,540,5400,5670,4e3,5600,11270,12002.55,17.40740740740741,22.22694444444444,4.819537037037033
544,STANDARD,36.266666666666666,36,0.7555555555555555,43.82222222222222,540,583.8222222222222,540,5400,5670,4e3,5600,11270,12002.55,17.40740740740741,22.22694444444444,4.819537037037033
545,EURO,36.333333333333336,36,1.0092592592592593,48.44444444444444,540,588.4444444444445,540,5400,5670,4e3,5600,11270,12002.55,17.40740740740741,22.22694444444444,4.819537037037033
545,STANDARD,36.333333333333336,36,0.7569444444444445,43.902777777777786,540,583.9027777777778,540,5400,5670,4e3,5600,11270,12002.55,17.40740740740741,22.22694444444444,4.819537037037033
546,EURO,36.4,36,1.011111111111111,48.53333333333333,540,588.5333333333333,540,5400,5670,4e3,5600,11270,12002.55,17.40740740740741,22.22694444444444,4.819537037037033
546,STANDARD,36.4,36,0.7583333333333333,43.983333333333334,540,583.9833333333333,540,5400,5670,4e3,5600,11270,12002.55,17.40740740740741,22.22694444444444,4.819537037037033
